"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "JavaScript", "TOML", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\home\components\Search.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 26, 11, 73
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\home\components\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 5, 31
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\home\components\SearchResultItem\SearchResultItem.test.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 4, 42
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\home\components\SearchResultItem\SearchResultItem.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 3, 6, 46
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\home\components\SearchResultList.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 5, 27
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\settings\Settings.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\settings\UpdatePasswordForm\UpdatePasswordForm.test.tsx", "TypeScript JSX", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 10, 71
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\settings\UpdatePasswordForm\UpdatePasswordForm.tsx", "TypeScript JSX", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\settings\UpdateUsernameForm.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 7, 76
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\services\googleBooks\apiGoogleBooks.test.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\services\googleBooks\apiGoogleBooks.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 36
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\services\supabase\apiAuth.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 85
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\services\supabase\apiBooks.ts", "TypeScript", 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 186
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\services\supabase\supabase.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\setupTests.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\types\supabase.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 71
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\utils\helpers.test.ts", "TypeScript", 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 233
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\utils\helpers.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\utils\types.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\tsconfig.json", "JSON with Comments", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\tsconfig.node.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\vercel.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\vite.config.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 22
"Total", "-", 7538, 860, 22, 2529, 38, 4, 310, 3, 12, 13, 221, 524, 12074
